"commune";2005;2006;2007;2008;2009;2010
"Ambarès-et-Lagrave";458;660;650;808;823;755
"Ambès";;;123;111;97;86
"Artigues-près-Bordeaux";415;358;385;360;306;259
"Bassens";658;579;640;735;833;930
"Bègles";350;491;527;654;661;654
"Blanquefort";490;544;666;677;577;514
"Bordeaux";917;887;870;859;805;776
"Bouliac";305;275;367;359;367;584
"Le Bouscat";392;460;492;449;392;397
"Bruges";1074;933;1003;964;1008;934
"Carbon-Blanc";314;303;401;605;566;585
"Cenon";433;493;716;732;771;777
"Eysines";539;634;721;803;825;906
"Floirac";626;717;949;974;1080;1080
"Gradignan";850;835;1057;1029;966;964
"Le Haillan";516;493;481;588;720;732
"Lormont";677;889;1171;1115;1090;1140
"Mérignac";457;466;469;490;411;414
"Parempuyre";449;355;301;241;268;215
"Pessac";18;14;11;10;9;20
"Saint-Aubin-de-Médoc";670;724;820;1395;1768;1911
"Saint-Louis-de-Montferrand";65;60;56;50;186;165
"Saint-Médard-en-Jalles";783;987;1084;1047;1020;934
"Saint-Vincent-de-Paul";21;0;2;2;3;3
"Le Taillan-Médoc";464;519;566;549;812;883
"Talence";546;616;676;745;673;668
"Villenave-d'Ornon";487;445;449;412;344;323
